id;date;author;insurance;jhi_desc;ipm;total
1;2022-09-10T19:48:14;Chicken whiteboard;Maldives Electronics;../fake-data/blob/hipster.txt;Manager;18094
2;2022-09-10T19:47:06;function Towels;Centre payment GB;../fake-data/blob/hipster.txt;Pizza Cambridgeshire La;33074
3;2022-09-10T01:44:20;Fish Assistant withdrawal;a;../fake-data/blob/hipster.txt;Lilangeni SAS;7591
4;2022-09-10T11:22:58;panel synthesize quantifying;Producteur Guyane Chicken;../fake-data/blob/hipster.txt;Montmorency Car generate;41574
5;2022-09-09T23:07:38;magenta protocol;Garden Incredible Robust;../fake-data/blob/hipster.txt;THX Pizza;96592
6;2022-09-10T07:35:40;PCI;Specialiste;../fake-data/blob/hipster.txt;benchmark;18339
7;2022-09-10T04:44:36;programming;Venezuela Shoes array;../fake-data/blob/hipster.txt;c blue Lempira;18376
8;2022-09-10T19:04:47;Cambridgeshire connecting synthesize;Fantastic;../fake-data/blob/hipster.txt;online Avon b;33609
9;2022-09-10T08:09:48;compressing Saint-Denis Monitored;transmitter;../fake-data/blob/hipster.txt;Specialiste Oman;21372
10;2022-09-10T12:49:46;e-services;olive Executif Agent;../fake-data/blob/hipster.txt;Focused;655
