id;ta;temperature;pulse_rate;respiratory_frequency;recoloration_time;glasgow;gravity_class;horary_diuresis;spo_2;treatment;health_evolution;sheet_date
1;Small;paradigms firmware;Centre Pizza;Music Licensed;feed visualize;pink a;fresh-thinking reboot;Cotton intermediate;Rubber Consultant du;copy withdrawal;Steel Triple-buffered a;Manager IB
2;Convertible Peso Fresh;Bedfordshire;Seine c digital;global Practical primary;Account;alliance;Boétie Tools;Generic;tan input;SDD;global neural;Plastic interface
3;invoice connecting Checking;Cambridgeshire Berkshire Soft;payment;Wooden Midi-Pyrénées;open-source IB reintermediate;solutions Baby;Grocery;teal RSS;feed pixel;c la;De-engineered;Bacon Universal
4;Sleek magenta payment;Industrial override Architecte;Montorgueil Hat 1080p;b Liechtenstein;back-end Checking;payment Small;Outdoors optical Buckinghamshire;schemas Ball Charlemagne;turquoise holistic;AGP azure;bypassing Chips;Bretagne
5;compressing up;responsive Soft compressing;SAS Industrial;Plastic virtual a;intuitive transparent Concrete;capability invoice;Buckinghamshire;Unbranded b;Expanded TCP;exuding attitude-oriented;Gloves rich;artificial Administrateur
6;services heuristic Home;Kwacha cyan;copy program;digital;Intuitive;Practical Royaume-Uni Vaneau;synthesize Personal regional;deposit composite;c;Persistent actuating;FTP;plug-and-play
7;navigate;transform Manager;matrices Towels a;Credit;Aquitaine;navigating incremental User-friendly;convergence;quantify;black;Mouse Unbranded Palladium;framework c Franc;Tools Malaisie
8;Designer Sports;JBOD tan parallelism;Operative Swaziland;intermediate;Zadkine quantifying schemas;matrix;Pologne c;a Wooden;B2B;Directeur virtual systems;Soft;Keyboard Mouse
9;Pakistan infrastructures Pompe;hacking;Handmade;Royale;Account Finlande;Zambian;Buckinghamshire;Toys Ruble wireless;Fresh;olive Cross-group parsing;Computer open-source mindshare;Pants back-end
10;indexing;compressing;Fiji b c;navigate;Coordinateur;Dinar bypass Cotton;Dinar la;Vatu groupware Generic;Public-key;Savings;Kwanza b Japon;ROI
